Symbol,Name
AC.PA,"Accor"
AI.PA,"Air Liquide"
AIR.PA,"Airbus"
MT.AS,"ArcelorMittal"
CS.PA,"Axa"
BNP.PA,"BNP Paribas"
EN.PA,"Bouygues"
BVI.PA,"Bureau Veritas"
CAP.PA,"Capgemini"
CA.PA,"Carrefour"
ACA.PA,"Crédit Agricole"
BN.PA,"Danone"
DSY.PA,"Dassault Systèmes"
EDEN.PA,"Edenred"
ENGI.PA,"Engie"
EL.PA,"EssilorLuxottica"
ERF.PA,"Eurofins Scientific"
RMS.PA,"Hermès"
KER.PA,"Kering"
OR.PA,"L’Oréal"
LR.PA,"Legrand"
MC.PA,"LVMH"
ML.PA,"Michelin"
ORA.PA,"Orange"
RI.PA,"Pernod Ricard"
PUB.PA,"Publicis"
RNO.PA,"Renault"
SAF.PA,"Safran"
SGO.PA,"Saint-Gobain"
SAN.PA,"Sanofi"
SU.PA,"Schneider Electric"
GLE.PA,"Société Générale"
STLAP.PA,"Stellantis"
STMPA.PA,"STMicroelectronics"
TEP.PA,"Teleperformance"
HO.PA,"Thales"
TTE.PA,"TotalEnergies"
URW.PA,"Unibail-Rodamco-Westfield"
VIE.PA,"Veolia"
DG.PA,"Vinci"
